# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64}
# - {name: flux, unit: 1 / (TeV cm2 s), datatype: float64}
# - {name: flux_error, unit: 1 / (TeV cm2 s), datatype: float64}
# - {name: energy_edge_lo, unit: TeV, datatype: float64}
# - {name: energy_edge_hi, unit: TeV, datatype: float64}
# - {name: sig, unit: '', datatype: float64}
# - {name: ul, unit: '', datatype: int64}
# meta: !!omap
# - comments: [my vegas analysis (including 3 telescopes)]
# - keywords: !!omap
#   - cl: {value: 0.95}
energy flux flux_error energy_edge_lo energy_edge_hi sig ul
0.2492 2.21e-10 4.71e-11 0.1995 0.3162 6.89 0
0.3949 8.88e-11 1.09e-11 0.3162 0.5012 12 0
0.6259 1.98e-11 2.79e-12 0.5012 0.7943 8.11 0
0.992 4.22e-12 1.02e-12 0.7943 1.2589 5.31 0
1.572 1.18e-12 4.02e-13 1.2589 1.9953 3.95 0
2.492 2.57e-13 0 1.9953e12 3.1623 -0.16 1
3.949 1.51e-13 0 3.1623e12 5.0119 0.4 1
6.259 2.72e-14 0 5.0119e12 7.9433 -1.58 1
9.92 2.76e-14 0 7.9433e12 12.5893 0.22 1
15.72 7.44e-15 0 1.25893e13 19.9526 -0.7 1
24.92 3.19e-15 0 1.99526e13 31.6228 -1.15 1




